frame_index,timestamp_sec,time_normalized,speed_relative,acceleration_relative,jerk_proxy,curvature,step_relative,pose_jump,bspline_residual,rts_residual,innovation_norm
103,25.667000000,0.517647059,0.921730982,15.949395,2230.30702,13.5750687,0.004321268,false,0.00153848582,0.0215599119,0.0337700052
104,25.817000000,0.522058824,0.875868612,25.7785824,3070.81191,4.05247702,0.00382502476,false,0.00198252078,0.0209564226,0.0335394077
105,26.017000000,0.527941176,0.606389862,36.3767441,5357.60808,3.69941985,0.00523973623,false,0.00244196308,0.0202675694,0.0332494313
106,26.167000000,0.532352941,0.47778126,16.0815231,8135.96841,58.5198853,0.00177120805,false,0.0014792049,0.0196375327,0.0348348958
107,26.367000000,0.538235294,0.837341699,40.8726697,3159.96784,8.64512176,0.00354698283,false,0.00126562643,0.0189719525,0.0357167278
108,26.517000000,0.542647059,0.944193391,15.1917221,5746.98803,14.0016061,0.00449305008,false,0.00139386539,0.0176807341,0.034731642
109,26.667000000,0.547058824,0.919206845,15.264267,3652.58204,17.0147267,0.00386534415,false,0.0014268477,0.0170012706,0.034063092
110,26.867000000,0.552941176,0.891670379,24.1302517,3359.78776,20.5671779,0.00580073333,false,0.00165721773,0.0165872425,0.0334055082
111,27.017000000,0.557352941,0.7672964,25.0213834,4073.4898,16.1323109,0.00366025389,false,0.00210297851,0.0156355938,0.0335495127
112,27.217000000,0.563235294,0.7022408,18.0334831,4534.58872,35.6371034,0.00403693787,false,0.00215457256,0.0150978416,0.0347462487
113,27.367000000,0.567647059,0.747896551,16.6196635,3521.49725,29.1222434,0.00335046036,false,0.00142615362,0.0148253813,0.0342994356
114,27.567000000,0.573529412,0.745856426,6.42415766,3359.20262,11.3097268,0.00463804471,false,0.00160452888,0.0143029613,0.0349162377
115,27.717000000,0.577941176,0.725478298,17.2669125,4266.1391,29.9909276,0.00315151991,false,0.00187062488,0.0142549205,0.0353511271
116,27.867000000,0.582352941,0.800562995,34.9350043,1876.73637,5.31880592,0.00333476397,false,0.00194873626,0.0137244512,0.0352992621
117,28.067000000,0.588235294,1.14329589,8.3365635,9094.51987,5.68585947,0.0051565537,false,0.00179166614,0.0134445948,0.0353020705
118,28.217000000,0.592647059,0.981678287,49.0162739,2680.99528,5.88257336,0.00595802893,false,0.00263024548,0.0116770394,0.0331611709
119,28.417000000,0.598529412,0.598955478,12.2495476,9441.24825,23.3750493,0.00290657159,false,0.00124351745,0.0124788022,0.0346869564
120,28.567000000,0.602941176,0.887312755,49.9876996,3027.40339,8.58832515,0.00303006779,false,0.00155296713,0.0125851179,0.0352347525
121,28.717000000,0.607352941,1.03342475,20.6085109,7964.16021,17.6872127,0.00488746539,false,0.00174519782,0.0112479456,0.0338484458
122,28.917000000,0.613235294,0.900941133,27.2667032,5053.39961,5.02384925,0.00571815992,false,0.00205352129,0.0108767137,0.0335250858
123,29.067000000,0.617647059,0.76719684,34.6418073,3113.47746,53.790759,0.00375875188,false,0.00191790913,0.0111269293,0.0330869235
124,29.267000000,0.623529412,0.8166785,11.2250224,6021.35464,15.895039,0.00416387596,false,0.00178959066,0.0109678032,0.034489573
125,29.417000000,0.627941176,0.825131913,36.6752925,779.208421,48.8162373,0.00400204232,false,0.00274958865,0.0105986659,0.0348606173
126,29.617000000,0.633823529,0.571201891,18.250165,8093.99273,26.096815,0.00477110101,false,0.00157800462,0.0112508694,0.0342891727
127,29.767000000,0.638235294,0.843256634,56.8399113,1423.62279,19.4270665,0.00183695223,false,0.00199252141,0.0131718038,0.0356325294
128,29.917000000,0.642647059,1.04895926,12.2377093,7500.55651,6.44532698,0.00562106168,false,0.00169385977,0.0114266231,0.0338749371
129,30.117000000,0.648529412,0.819966036,16.3672401,1848.58933,23.2498014,0.00453750763,false,0.000990063305,0.0124230094,0.0344536133
130,30.267000000,0.652941176,0.915362455,17.160851,3013.91637,2.09257374,0.00389003823,false,0.00109025406,0.0124299402,0.0338476268
131,30.467000000,0.658823529,0.980909764,20.1615101,3854.96184,16.3593799,0.00566802584,false,0.00135899726,0.0120012738,0.0332931781
132,30.617000000,0.663235294,0.84324554,26.0656791,3205.92932,6.78911422,0.00441329528,false,0.0010448296,0.0116901477,0.032420363
133,30.767000000,0.667647059,0.753305911,8.58380976,4868.34307,10.6385303,0.00303868284,false,0.000874400067,0.0126743879,0.0328598763
134,30.967000000,0.673529412,0.998211808,17.0758186,3113.58326,10.9281127,0.00496477545,false,0.00112237626,0.0131265573,0.0326365321
135,31.117000000,0.677941176,0.963219756,17.6249012,2919.57607,11.635756,0.00494335354,false,0.00062860251,0.0122471136,0.0317506511
136,31.317000000,0.683823529,0.831618081,13.4723461,4800.82933,19.3105625,0.00446883844,false,0.00157777116,0.013116623,0.0320473811
137,31.467000000,0.688235294,0.927282121,32.4451273,1824.06671,29.8965916,0.00393392044,false,0.00187750015,0.013360371,0.0320827868
138,31.667000000,0.694117647,1.02934891,13.9531789,5222.27901,12.6487922,0.005914337,false,0.00114415714,0.0130430383,0.0311658359
139,31.817000000,0.698529412,1.00831614,27.6723294,2030.61398,27.178787,0.00462218033,false,0.00107620766,0.012603939,0.0301092316
140,31.967000000,0.702941176,1.00535015,10.3188729,3955.07806,4.62330743,0.0043770085,false,0.00117267886,0.0122942118,0.0295303221
141,32.167000000,0.708823529,0.882110113,11.4220379,2984.65576,12.9424937,0.00607407665,false,0.00140449361,0.0116705677,0.0286115396
142,32.317000000,0.713235294,0.992539995,20.1432491,917.457314,1.87502835,0.00339548496,false,0.00168114242,0.0123439798,0.0286490579
143,32.517000000,0.719117647,1.07182263,11.6089334,4231.50705,6.0201532,0.00760347856,false,0.00166869271,0.0105204232,0.0271660962
144,32.667000000,0.723529412,0.958283532,28.5913851,1051.35607,21.0283821,0.00404597583,false,0.002004976,0.0104377321,0.0264302982
145,32.817000000,0.727941176,0.885463912,11.7490436,4060.44482,1.59968789,0.00456722315,false,0.00133687013,0.0106105194,0.0265929682
146,33.017000000,0.733823529,0.861095509,12.6980797,4292.93152,14.1696969,0.00424284543,false,0.00149151435,0.0116941707,0.0266438729
147,33.167000000,0.738235294,0.921656116,28.9735455,2239.94006,2.42853272,0.00439769518,false,0.00110934015,0.0116520799,0.0264763822
148,33.367000000,0.744117647,1.21140708,16.7981491,4924.91402,3.45366381,0.00500465723,false,0.00172296968,0.0121613497,0.0263339912
149,33.517000000,0.748529412,1.17203447,16.2463349,3634.65415,6.36760182,0.00659626276,false,0.00143844515,0.0100900331,0.024563505
150,33.717000000,0.754411765,1.07052742,10.5149708,4410.67199,7.86890374,0.00439461274,false,0.00132553716,0.0110211681,0.0248092234
151,33.867000000,0.758823529,1.08058515,31.1543744,3007.44359,22.8874176,0.00580789471,false,0.00130597955,0.00988050313,0.0235381009
152,34.017000000,0.763235294,0.934891687,26.0178861,5074.50788,14.7309975,0.00384160136,false,0.000594452038,0.0104801264,0.0238398794
153,34.217000000,0.769117647,0.876435836,26.6236583,4198.03006,34.6586327,0.00605783288,false,0.00127756915,0.00998666618,0.0231135468
154,34.367000000,0.773529412,0.906935296,18.6454863,5149.56492,4.40805041,0.00343100524,false,0.00101021611,0.0106215931,0.0230853642
